Id_Franquicia,Nombre_Franquicia,Min_Inversion,Max_Inversion,Año_Fundado,Unidades
390,Tiger Sugar,305000.0,542000.0,2019,33
391,Frutta Bowls,389000.0,507000.0,2016,33
392,Winchell's Donut House,3000.0,72000.0,2004,33
393,Veggie Grill,749000.0,1300000.0,2006,33
394,The Simple Greek,319000.0,633000.0,2015,33
395,Westside Pizza,158000.0,480000.0,2011,32
396,Kelly's Cajun Grill,295000.0,1390000.0,1995,32
397,Hawaiian Bros,1670000.0,3880000.0,2018,32
398,Apple Spice,380000.0,552000.0,2011,32
399,Savory Spice,128000.0,299000.0,2004,32
400,East Coast Wings + Grill,429000.0,983000.0,2002,32
401,Coco Fresh Tea & Juice,241000.0,1350000.0,1997,31
402,Rapid Fired Pizza,267000.0,855000.0,2015,31
403,Wow Cafe,234000.0,780000.0,2001,31
404,Honest,1270000.0,1960000.0,2016,31
405,Teaspoon,245000.0,548000.0,2015,31
406,The Great Greek,582000.0,1090000.0,2017,31
407,Pizza Studio,216000.0,684000.0,2012,31
408,Earl Of Sandwich,315000.0,656000.0,2004,31
409,Sharky's Woodfired Mexican Grill,308000.0,1760000.0,2008,30
410,Fruitfull,75000.0,114000.0,1991,30
411,Just Love Coffee Cafe,469500000.0,711000000.0,2019,30
412,KFC Non-Traditional,291000.0,1420000.0,1930,30
413,Just Salad,307000.0,753000.0,2005,30
414,vomFASS,95000.0,750000.0,1994,30
415,Oath Pizza,239000.0,590000.0,2015,30
416,Woops!,65000.0,396000.0,2015,29
417,Mango Mango Dessert,293000.0,496000.0,2017,29
418,Nautical Bowls,251000.0,475000.0,2020,29
419,Wing Zone,109000.0,751000.0,1991,29
420,Crisp & Green,860000.0,1390000.0,2018,29
421,16 Handles,243000.0,553000.0,2011,29
422,Fat Shack,150000.0,420000.0,2013,29
423,Pickleman's Gourmet Cafe,399000.0,850000.0,2007,28
424,Straw Hat Pizza,108000.0,1080000.0,1959,28
425,Peace Love and Little Donuts,121000.0,235000.0,2012,28
426,Figaro's Pizza,87000.0,549000.0,1986,28
427,Lean Kitchen Company,151000.0,441000.0,2017,28
428,Country Kitchen International,575000.0,1690000.0,2011,27
429,Marie Callender,485000.0,2069999.9999999998,2006,27
430,Erik's Delicafe,289000.0,522000.0,1986,27
431,Garbanzo Mediterranean Fresh,552000.0,735000.0,2008,27
432,Rocky Rococo Pizza and Pasta,211000.0,551000.0,1995,27
433,STEAK ESCAPE SANDWICH GRILL,240000.0,817000.0,1996,27
434,Scramblers,450000.0,860000.0,2005,27
435,Yogis Grill,324000.0,649000.0,2007,27
436,Mr. Delivery,62000.0,69000.0,2011,27
437,Gandolfo's Deli,113000.0,549000.0,2003,27
438,Buona,1270000.0,5570000.0,2021,26
439,Chop Stop,375000.0,699000.0,2010,26
440,Bad Ass Coffee Of Hawaii,454000.0,921000.0,1997,26
441,Gong Cha,164000.0,497000.0,2006,26
442,Boston Pizza Restaurants,1020000.0,2760000.0,2001,26
443,Peterbrooke Chocolatier,230000.0,358000.0,2012,26
444,POKEMOTO,163000.0,337000.0,2017,26
